PostContent,Date,NumberOfComment,Like,Heart,Care,Haha,Wow,Sad,Angry,ContentofComment
"Cho mình hỏi là sáng hôm t5 tiết 4,5 có học Lịch sử Đảng không ạ, sáng t5 mình vô check mà không để ý tới tối mới biết có lịch học mà mình không đi. Có ai học cho mình biết là có điểm danh không với cần giáo trình gì ạ. Mình cảm ơn",13 Tháng 9,3,0,0,0,0,0,0,0,"['Cho mình hỏi là sáng hôm t5 tiết 4,5 có học Lịch sử Đảng không ạ, sáng t5 mình vô check mà không để ý tới tối mới biết có lịch học mà mình không đi. Có ai học cho mình biết là có điểm danh không với cần giáo trình gì ạ. Mình cảm ơn', 'tui cũng giống b nề', 'Mình có gt lsđ']"
"Mình có các môn sau ạ, ai cần mua ib",8 Tháng 9,2,0,0,0,0,0,0,0,"['Mình có các môn sau ạ, ai cần mua ib', 'Còn plđc k ạ']"
"Các ac lớp 50K??.1 pass sách,tài liệu những môn của các gv như hình ko ạ?",10 Tháng 9,15,0,0,0,0,0,0,0,"['Các ac lớp 50K??.1 pass sách,tài liệu những môn của các gv như hình ko ạ?', 'Cần pass ạ', 'Mình có mkt, plđc']"
em tìm tài liệu môn này ạ,12 Tháng 9,29,0,0,0,0,0,0,0,"['em tìm tài liệu môn này ạ', 'c có sách ch cào mã nha', 'Cs sách đã cào mã 20k']"
"Anh chị cho em hỏi Đội Tiền Phong còn mở tuyển thành viên không ạ ?
Em muốn tìm hiểu thêm về Đội Tiền phong nhưng chưa biết tìm ở đâu, anh chị nào ở trong đội có thể cho em ib để hỏi luôn đc k ạ 
Em cảm ơn anh chị rất nhiềuu",12 Tháng 9,9,0,0,0,0,0,0,0,"['Anh chị cho em hỏi Đội Tiền Phong còn mở tuyển thành viên không ạ ?\nEm muốn tìm hiểu thêm về Đội Tiền phong nhưng chưa biết tìm ở đâu, anh chị nào ở trong đội có thể cho em ib để hỏi luôn đc k ạ \nEm cảm ơn anh chị rất nhiềuu', 'em liên hệ anh nha']"
Em thấy có một số clb đã bắt đầu mở form đăng kí và có clb đã đóng đơn đăng kí. Thì có thể cho em hỏi là clb chỉ mở tuyển đơn 1 lần trong 1 năm hay sao ạ. Và nếu apply vào clb thì clb nào cũng phải phỏng vấn hay chỉ cần điền form là được ạ. Em cảm ơn.,3 Tháng 9,16,0,0,0,0,0,0,0,"['Em thấy có một số clb đã bắt đầu mở form đăng kí và có clb đã đóng đơn đăng kí. Thì có thể cho em hỏi là clb chỉ mở tuyển đơn 1 lần trong 1 năm hay sao ạ. Và nếu apply vào clb thì clb nào cũng phải phỏng vấn hay chỉ cần điền form là được ạ. Em cảm ơn.', 'Thường thì 1 năm tuyển 1 lần á em. VD CLB Guitar của c sẽ tuyển 1 lần là thành viên CLB, 1 lần là thành viên ban điều hành (chuyên tổ chức sự kiện). Tuyển tv CLB thì chỉ cần điền form, còn tuyển BĐH thì phải phỏng vấn hoặc casting nếu như vào ban nhạc nha', 'hi bạn nha, Đội Tiền Phong luôn mở cửa đón chào thành viên, bạn chỉ cần quét mã, tgia hoạt động của Đội là đã trở thành thành viên của Đội Tiền Phong rùi. Hiện tại nhà Xanh có rất nhiều hoạt động lớn nhỏ khác nhau như Gây quỹ Trung thu, Trung thu Nhỏ,…… Xem thêm']"
Trường mình có vụ đăng kí học trao đổi due qua tmu ở hà nội không ạ =)),18 Tháng 8,6,0,0,0,0,0,0,0,"['Trường mình có vụ đăng kí học trao đổi due qua tmu ở hà nội không ạ =))', 'Đây là chương trình trao đổi sv giữa 10 trường đh, e muốn học trao đổi ở trường nào thì theo dõi thông báo trao đổi của trường đó nha', 'Sinh viên 10 trường Đại học khối Kinh tế (ĐH Kinh tế Quốc dân, ĐH Kinh tế TP. Hồ Chí Minh, ĐH Ngoại thương, ĐH Thương mại, Học viện Ngân hàng, Học viện Tài chính, Học viện Chính sách & Phát triển, ĐH Kinh tế – ĐH Huế, ĐH Kinh… Xem thêm']"
E cần tài liệu những môn này ạ. Có ac nào pass ko ạ,10 Tháng 9,18,0,0,0,0,0,0,0,"['E cần tài liệu những môn này ạ. Có ac nào pass ko ạ', 'mình có Mar+QTH', 'qth 15k nha']"
Em cần tìm ng pass những sách này ạ,8 Tháng 9,61,0,0,0,0,0,0,0,"['Em cần tìm ng pass những sách này ạ', 'Minh Khánh giống tkb của mình nè. Chắc cùng chuyên ngành rồi', 'Mình có hết ạ']"
Thẻ từ là mình tự đki làm sau khi có mssv hay trường sẽ cấp cho mình ạ,2 Tháng 9,5,0,0,0,0,0,0,0,"['Thẻ từ là mình tự đki làm sau khi có mssv hay trường sẽ cấp cho mình ạ', 'Em tự đăng ký thẻ từ nha']"
A/c ơi e muốn hỏi về phương thức xét tuyển sớm bằng năng lực ngoại ngữ ở trường mình. Điểm chuẩn bên trái là so với điểm quy đổi đúng không ạ? Em cảm ơn ạ,11 Tháng 9,1,0,0,0,0,0,0,0,['A/c ơi e muốn hỏi về phương thức xét tuyển sớm bằng năng lực ngoại ngữ ở trường mình. Điểm chuẩn bên trái là so với điểm quy đổi đúng không ạ? Em cảm ơn ạ']
"em cần hỏi một số thông tin sau, em cảm ơn ạ 
1.  về đầu ra chứng chỉ ngoại ngữ, em xét tuyển bằng ielts, vậy trong thời gian tới em có cần học toeic ko vì em thấy mấy ac bảo học toeic để lấy đầu ra ạ. ielts của em còn hạn tới 2026 thì có thể nộp để xét đầu ra được ko (nếu có thì bằng cách nào ạ)?",11 Tháng 9,1,0,0,0,0,0,0,0,"['em cần hỏi một số thông tin sau, em cảm ơn ạ \n1.  về đầu ra chứng chỉ ngoại ngữ, em xét tuyển bằng ielts, vậy trong thời gian tới em có cần học toeic ko vì em thấy mấy ac bảo học toeic để lấy đầu ra ạ. ielts của em còn hạn tới 2026 thì có thể nộp để xét đầu ra được ko (nếu có thì bằng cách nào ạ)?', 'Câu 1 và 2 e liên hệ Phòng Đào tạo, Trường Đại học Kinh tế - Đại học Đà Nẵng hỏi nha, hoặc gọi 02363 950110']"
em muốn huỷ học phần tiếng anh vì em đang học ielts để xét đầu ra ạ. Vậy hôm nay hết hạn 16h00 ngày 11/09/2024 mà trúng mấy ngày gvcn em không có để xin chữ kí xác nhận không biết em nộp trễ 1 ngày được không ạ. Em cảm ơn ạ ,11 Tháng 9,1,0,0,0,0,0,0,0,"['em muốn huỷ học phần tiếng anh vì em đang học ielts để xét đầu ra ạ. Vậy hôm nay hết hạn 16h00 ngày 11/09/2024 mà trúng mấy ngày gvcn em không có để xin chữ kí xác nhận không biết em nộp trễ 1 ngày được không ạ. Em cảm ơn ạ ', 'E liên hệ Phòng Đào tạo, Trường Đại học Kinh tế - Đại học Đà Nẵng hoặc gọi 02363 950110 hỏi nhé']"
"dạ em muốn hỏi nếu huỷ học phần tiếng anh thì em cần nộp chứng chỉ tiếng anh từ bậc 3, vậy nếu em học toeic để nộp chứng chỉ thì em học 2 hay 4 kỹ năng vậy ạ. Em cảm ơn, em là sinh viên khoá 50K ạ",11 Tháng 9,5,0,0,0,0,0,0,0,"['dạ em muốn hỏi nếu huỷ học phần tiếng anh thì em cần nộp chứng chỉ tiếng anh từ bậc 3, vậy nếu em học toeic để nộp chứng chỉ thì em học 2 hay 4 kỹ năng vậy ạ. Em cảm ơn, em là sinh viên khoá 50K ạ', '2 nha', 'E liên hệ Phòng Đào tạo, Trường Đại học Kinh tế - Đại học Đà Nẵng để đc tư vấn nha, hoặc gọi 02363 950110 h hành chính']"
Em cần mua tl những môn này ạ,8 Tháng 9,26,0,0,0,0,0,0,0,"['Em cần mua tl những môn này ạ', 'Chị có pass nha', 'full']"
"ac ơi cho em hỏi là: tadv em được 141 xếp vào lớp b1, có thể hủy học phần để tự học bên ngoài thì em điền đơn này đúng không ạ với tên học phần là gì ạ. em xin cảm ơn",10 Tháng 9,20,0,0,0,0,0,0,0,"['ac ơi cho em hỏi là: tadv em được 141 xếp vào lớp b1, có thể hủy học phần để tự học bên ngoài thì em điền đơn này đúng không ạ với tên học phần là gì ạ. em xin cảm ơn', 'Tên học phần là ""English communication 1"" và số tín chỉ là 3 nha', 'cho e hỏi có ielts thì đc pass như nào ạ']"
"[EMAIL CHO TÂN SINH VIÊN 50K]
========
Nhà trường đã tạo email Trường cho tất cả các em (theo format: Mã Sinh viên@due.udn.vn) ",10 Tháng 9,2,0,0,0,0,0,0,0,['[EMAIL CHO TÂN SINH VIÊN 50K]\n========\nNhà trường đã tạo email Trường cho tất cả các em (theo format: Mã Sinh viên@due.udn.vn) ']
"dạ em cần giáo trình và slide những môn này ạ, có anh chị nào pass không ạ",10 Tháng 9,12,0,0,0,0,0,0,0,"['dạ em cần giáo trình và slide những môn này ạ, có anh chị nào pass không ạ', 'Mình có vi mô, plđc nhe', 'mình có toán nhaa']"
Các anh/chị cho em hỏi là xin giấy xác nhận nhập học/giấy xác nhận là SV của trường để nộp cho địa phương là xin ở đâu vậy ạ,10 Tháng 9,2,0,0,0,0,0,0,0,"['Các anh/chị cho em hỏi là xin giấy xác nhận nhập học/giấy xác nhận là SV của trường để nộp cho địa phương là xin ở đâu vậy ạ', 'e vô đây đk nha: https://due.udn.vn/.../phongctsvchitiet/id/10816/cid/536']"
"Mình cần pass các tài liệu sau : 
- kinh tế vi mô : giáo trình + slide + bài tập + đề ôn tập + đề thi các năm : 25k
- Kinh tế vĩ mô : giáo trình + slide + file đề ôn thi + đề thi các năm : 25k
- Pháp luật đại cương : giáo trình + slide + bài tập ôn thi : 20k
- Toán ứng dụng trong kinh tế : giáo trình + slide + bài tập + đề thi các năm : 20k … Xem thêm",8 Tháng 9,13,0,0,0,0,0,0,0,"['Mình cần pass các tài liệu sau : \n- kinh tế vi mô : giáo trình + slide + bài tập + đề ôn tập + đề thi các năm : 25k\n- Kinh tế vĩ mô : giáo trình + slide + file đề ôn thi + đề thi các năm : 25k\n- Pháp luật đại cương : giáo trình + slide + bài tập ôn thi : 20k\n- Toán ứng dụng trong kinh tế : giáo trình + slide + bài tập + đề thi các năm : 20k … Xem thêm', 'Mỹ Tiên cần ko', 'rep ib em vs ạ']"
"Em thuộc lớp English Elementary 1 ạ
Cho em hỏi là em bắt buộc học Tiếng Anh tại trường hay có được tự học rồi nộp chứng chi cho trường không ạ ??",9 Tháng 9,9,0,0,0,0,0,0,0,"['Em thuộc lớp English Elementary 1 ạ\nCho em hỏi là em bắt buộc học Tiếng Anh tại trường hay có được tự học rồi nộp chứng chi cho trường không ạ ??', 'E xem tbao ở đây nhé:\nChi tiết thông báo vui lòng xem tại: https://due.udn.vn/.../thongbaochitiet/id/19485/bid/456', 'xem ds xếp lớp này ở đâu v bạn']"
Cho em hỏi là e có cần phải nộp CCTA để miễn học phần Tiếng anh nữa không khi đã miễn thi TADV rồi ạ. Nếu phải nộp thì nộp ở phòng nào ạ? Em cảm ơn ạ.,9 Tháng 9,1,0,0,0,0,0,0,0,"['Cho em hỏi là e có cần phải nộp CCTA để miễn học phần Tiếng anh nữa không khi đã miễn thi TADV rồi ạ. Nếu phải nộp thì nộp ở phòng nào ạ? Em cảm ơn ạ.', 'E đã đk miễn avdv ở kê khai nhập học là miễn các hp TA rồi e']"
"dạ anh/chị cho em hỏi, em thi tadv được 145 điểm và thấy mọi người trên nhóm nói là có thể tự làm đơn huỷ lớp communication 1. Vậy cho em hỏi mình lấy mẫu đơn ở đâu vậy ạ? em cảm ơn ạ!",9 Tháng 9,1,0,0,0,0,0,0,0,"['dạ anh/chị cho em hỏi, em thi tadv được 145 điểm và thấy mọi người trên nhóm nói là có thể tự làm đơn huỷ lớp communication 1. Vậy cho em hỏi mình lấy mẫu đơn ở đâu vậy ạ? em cảm ơn ạ!', 'Chi tiết thông báo vui lòng xem tại: https://due.udn.vn/.../thongbaochitiet/id/19485/bid/456']"
"""Người ta dùng cả thanh xuân để kiếm tìm tình yêu đích thực
Tôi dùng cả thanh xuân để đi tìm các QLNN-er 50K""
-------------------------------------------------------------------------
Đầu tiên, mình xin chúc mừng các bạn 50K đã trúng tuyển vào ngành Quản lý nhà nước theo kết quả của phương thức xét tuyển học và đánh giá năng lực, tuyển thẳng. Hiện tại đã có box chat dành cho các bạn 50K có thể giao lưu, tìm hiểu về ngành học và sẽ được các anh chị khóa trước sẽ giúp … Xem thêm",17 Tháng 7,58,0,0,0,0,0,0,0,"['""Người ta dùng cả thanh xuân để kiếm tìm tình yêu đích thực\nTôi dùng cả thanh xuân để đi tìm các QLNN-er 50K""\n-------------------------------------------------------------------------\nĐầu tiên, mình xin chúc mừng các bạn 50K đã trúng tuyển vào ngành Quản lý nhà nước theo kết quả của phương thức xét tuyển học và đánh giá năng lực, tuyển thẳng. Hiện tại đã có box chat dành cho các bạn 50K có thể giao lưu, tìm hiểu về ngành học và sẽ được các anh chị khóa trước sẽ giúp … Xem thêm', 'Có box Khoa Học Dữ Liệu chưa ạ', 'Chấm ạ, thêm e nữa a ơiiii....']"
